defined_class	defined_class_name	anatomical_entity	anatomical_entity_label	malformed	malformed_label
http://purl.obolibrary.org/obo/XPO_0133342		XAO:0000113	embryo	PATO:0000620	wholly dorsalized
http://purl.obolibrary.org/obo/XPO_0133343		XAO:0000113	embryo	PATO:0030005	partially dorsalized
http://purl.obolibrary.org/obo/XPO_0133344		XAO:0000113	embryo	PATO:0000636	wholly ventralized
http://purl.obolibrary.org/obo/XPO_0133345		XAO:0000113	embryo	PATO:0030007	partially ventralized
http://purl.obolibrary.org/obo/XPO_0133346		XAO:0000113	embryo	PATO:0000615	wholly anterioralized
http://purl.obolibrary.org/obo/XPO_0133347		XAO:0000113	embryo	PATO:0030004	partially anterioralized
http://purl.obolibrary.org/obo/XPO_0133348		XAO:0000113	embryo	PATO:0000630	wholly posterioralized
http://purl.obolibrary.org/obo/XPO_0133349		XAO:0000113	embryo	PATO:0030006	partially posterioralized
http://purl.obolibrary.org/obo/XPO_0141408		XAO:0005322	tadpole	PATO:0000620	wholly dorsalized
http://purl.obolibrary.org/obo/XPO_0141409		XAO:0005322	tadpole	PATO:0030005	partially dorsalized
http://purl.obolibrary.org/obo/XPO_0141410		XAO:0005322	tadpole	PATO:0000636	wholly ventralized
http://purl.obolibrary.org/obo/XPO_0141411		XAO:0005322	tadpole	PATO:0030007	partially ventralized
http://purl.obolibrary.org/obo/XPO_0141412		XAO:0005322	tadpole	PATO:0000615	wholly anterioralized
http://purl.obolibrary.org/obo/XPO_0141413		XAO:0005322	tadpole	PATO:0030004	partially anterioralized
http://purl.obolibrary.org/obo/XPO_0141414		XAO:0005322	tadpole	PATO:0000630	wholly posterioralized
http://purl.obolibrary.org/obo/XPO_0141415		XAO:0005322	tadpole	PATO:0030006	partially posterioralized
