defined_class	defined_class_name	anatomical_entity	anatomical_entity_label	location	location_label
http://purl.obolibrary.org/obo/XPO_0133421		XAO:0005008	cilium	XAO:0005170	left-right organizer
http://purl.obolibrary.org/obo/XPO_0133422		XAO:0005008	cilium	XAO:0005034	neural progenitor cell
http://purl.obolibrary.org/obo/XPO_0133423		XAO:0005008	cilium	XAO:0000306	floor plate
http://purl.obolibrary.org/obo/XPO_0133424		XAO:0005008	cilium	XAO:0000010	brain
http://purl.obolibrary.org/obo/XPO_0133425		XAO:0005008	cilium	XAO:0004393	mucociliary epithelium
http://purl.obolibrary.org/obo/XPO_0133426		XAO:0005008	cilium	XAO:0002000	pronephric kidney
http://purl.obolibrary.org/obo/XPO_0133427		XAO:0005008	cilium	XAO:0000062	pronephric nephrostome
http://purl.obolibrary.org/obo/XPO_0133428		XAO:0005008	cilium	XAO:0004518	proximal tubule
http://purl.obolibrary.org/obo/XPO_0133429		XAO:0005008	cilium	XAO:0000275	olfactory pit
http://purl.obolibrary.org/obo/XPO_0133430		XAO:0005008	cilium	XAO:0004130	auditory hair cell
http://purl.obolibrary.org/obo/XPO_0133431		XAO:0005008	cilium	XAO:0004002	lateral line
http://purl.obolibrary.org/obo/XPO_0133432		XAO:0005008	cilium	XAO:0000125	alimentary system
http://purl.obolibrary.org/obo/XPO_0133433		XAO:0005008	cilium	XAO:0000128	stomach
http://purl.obolibrary.org/obo/XPO_0133434		XAO:0005008	cilium	XAO:0000127	esophagus
http://purl.obolibrary.org/obo/XPO_0133435		XAO:0005008	cilium	XAO:0005137	monociliated cell
http://purl.obolibrary.org/obo/XPO_0133436		XAO:0005008	cilium	XAO:0005139	multiciliated cell
http://purl.obolibrary.org/obo/XPO_0133437		XAO:0005008	cilium	XAO:0000031	ciliated epidermal cell
http://purl.obolibrary.org/obo/XPO_0133438		XAO:0005008	cilium	XAO:0004517	ciliated non-epidermal cell
http://purl.obolibrary.org/obo/XPO_0133439		XAO:0005008	cilium	XAO:0005178	monociliated epidermal cell
http://purl.obolibrary.org/obo/XPO_0133440		XAO:0005008	cilium	XAO:0005179	multiciliated epidermal cell
