defined_class	defined_class_name	anatomical_entity	anatomical_entity_label
http://purl.obolibrary.org/obo/XPO_0141320		XAO:0005260	ventral trunk
http://purl.obolibrary.org/obo/XPO_0141321		XAO:0003031	hindlimb
http://purl.obolibrary.org/obo/XPO_0141322		XAO:0003030	forelimb
http://purl.obolibrary.org/obo/XPO_0141323		XAO:0000179	eye
http://purl.obolibrary.org/obo/XPO_0141324		XAO:0000010	brain
http://purl.obolibrary.org/obo/XPO_0141325		XAO:0000020	spinal cord
http://purl.obolibrary.org/obo/XPO_0141326		XAO:0003161	limb bud
http://purl.obolibrary.org/obo/XPO_0141327		XAO:0003026	tail
http://purl.obolibrary.org/obo/XPO_0141328		XAO:0001010	circulatory system
http://purl.obolibrary.org/obo/XPO_0141329		XAO:0004521	coelom
http://purl.obolibrary.org/obo/XPO_0141330		XAO:0000028	epidermis
http://purl.obolibrary.org/obo/XPO_0141331		XAO:0000113	embryo
http://purl.obolibrary.org/obo/XPO_0141592		XAO:0000064	heart
http://purl.obolibrary.org/obo/XPO_0141593		XAO:0000119	lung
http://purl.obolibrary.org/obo/XPO_0141833		XAO:0000125	alimentary system
http://purl.obolibrary.org/obo/XPO_0141834		XAO:0000232	foregut
http://purl.obolibrary.org/obo/XPO_0141835		XAO:0003024	head
http://purl.obolibrary.org/obo/XPO_0141836		XAO:0004063	dorsal fin
http://purl.obolibrary.org/obo/XPO_0141837		XAO:0004107	regenerating hindlimb
http://purl.obolibrary.org/obo/XPO_0141838		XAO:0004182	pericardium
http://purl.obolibrary.org/obo/XPO_0141839		XAO:0004261	pharyngeal region
