defined_class	defined_class_name	anatomical_entity	anatomical_entity_label	location	location_label
http://purl.obolibrary.org/obo/XPO_0141426		XAO:0001014	melanophore	XAO:0003217	retinal pigmented epithelium
http://purl.obolibrary.org/obo/XPO_0141427		XAO:0001014	melanophore	XAO:0004063	dorsal fin
http://purl.obolibrary.org/obo/XPO_0141428		XAO:0001014	melanophore	XAO:0000028	epidermis
http://purl.obolibrary.org/obo/XPO_0141429		XAO:0001014	melanophore	XAO:0000179	eye
http://purl.obolibrary.org/obo/XPO_0141430		XAO:0001014	melanophore	XAO:0000188	optic nerve
http://purl.obolibrary.org/obo/XPO_0141431		XAO:0001014	melanophore	XAO:0003024	head
http://purl.obolibrary.org/obo/XPO_0141432		XAO:0001014	melanophore	XAO:0000475	optic stalk
http://purl.obolibrary.org/obo/XPO_0141511		XAO:0005038	nucleus	XAO:0003015	myoblast
http://purl.obolibrary.org/obo/XPO_0141586		XAO:0005038	nucleus	XAO:0000315	myotome
http://purl.obolibrary.org/obo/XPO_0141587		XAO:0005009	mitotic spindle	XAO:0003249	epithelial cell
http://purl.obolibrary.org/obo/XPO_0141588		XAO:0005122	microtubule	XAO:0003249	epithelial cell
http://purl.obolibrary.org/obo/XPO_0141589		XAO:0004110	eye photoreceptor cell	XAO:0003221	retinal inner nuclear layer
http://purl.obolibrary.org/obo/XPO_0141590		XAO:0004098	bipolar neuron	XAO:0003223	retinal ganglion cell layer
http://purl.obolibrary.org/obo/XPO_0141591		XAO:0005008	cilium	XAO:0000094	gastrocoel roof plate
		XAO:0000174	skeletal muscle	XAO:0004108	regenerating tail
		XAO:0000055	notochord	XAO:0004108	regenerating tail
		XAO:0000020	spinal cord	XAO:0004108	regenerating tail
